id,district_id,created_at,level,method,month,number_of_crime,score,updated_at,year
CR-3509-0143-2023,350901,2025-04-25 09:50:50.339+00,low,kmeans,8,2,88,2025-04-25 09:50:50.339+00,2023
CR-3509-0144-2023,350901,2025-04-25 09:50:50.345+00,low,kmeans,9,3,82,2025-04-25 09:50:50.345+00,2023
CR-3509-0122-2021,350901,2025-04-25 09:50:50.192+00,low,kmeans,11,2,88,2025-04-25 09:50:50.192+00,2021
CR-3509-0110-2020,350901,2025-04-25 09:50:50.104+00,low,kmeans,11,0,100,2025-04-25 09:50:50.104+00,2020
CR-3509-0147-2023,350901,2025-04-25 09:50:50.365+00,low,kmeans,12,3,82,2025-04-25 09:50:50.365+00,2023
CR-3509-0148-2024,350901,2025-04-25 09:50:50.371+00,low,kmeans,1,1,94,2025-04-25 09:50:50.371+00,2024
CR-3509-0149-2024,350901,2025-04-25 09:50:50.377+00,low,kmeans,2,1,94,2025-04-25 09:50:50.377+00,2024
CR-3509-0150-2024,350901,2025-04-25 09:50:50.383+00,low,kmeans,3,4,75,2025-04-25 09:50:50.383+00,2024
CR-3509-0151-2024,350901,2025-04-25 09:50:50.389+00,low,kmeans,4,2,88,2025-04-25 09:50:50.389+00,2024
CR-3509-0152-2024,350901,2025-04-25 09:50:50.395+00,low,kmeans,5,2,88,2025-04-25 09:50:50.395+00,2024
CR-3509-0153-2024,350901,2025-04-25 09:50:50.402+00,low,kmeans,6,1,94,2025-04-25 09:50:50.402+00,2024
CR-3509-0154-2024,350901,2025-04-25 09:50:50.408+00,low,kmeans,7,2,88,2025-04-25 09:50:50.408+00,2024
CR-3509-0155-2024,350901,2025-04-25 09:50:50.414+00,low,kmeans,8,3,82,2025-04-25 09:50:50.414+00,2024
CR-3509-0156-2024,350901,2025-04-25 09:50:50.42+00,low,kmeans,9,2,88,2025-04-25 09:50:50.42+00,2024
CR-3509-0157-2024,350901,2025-04-25 09:50:50.426+00,low,kmeans,10,3,82,2025-04-25 09:50:50.426+00,2024
CR-3509-0158-2024,350901,2025-04-25 09:50:50.431+00,low,kmeans,11,0,100,2025-04-25 09:50:50.431+00,2024
CR-3509-0159-2024,350901,2025-04-25 09:50:50.438+00,low,kmeans,12,0,100,2025-04-25 09:50:50.438+00,2024
CR-3509-0129-2022,350901,2025-04-25 09:50:50.245+00,low,kmeans,6,1,94,2025-04-25 09:50:50.245+00,2022
CR-3509-0161-2020,350902,2025-04-25 09:50:50.454+00,low,kmeans,2,1,94,2025-04-25 09:50:50.454+00,2020
CR-3509-0162-2020,350902,2025-04-25 09:50:50.462+00,low,kmeans,3,1,94,2025-04-25 09:50:50.462+00,2020
CR-3509-0163-2020,350902,2025-04-25 09:50:50.472+00,low,kmeans,4,0,100,2025-04-25 09:50:50.472+00,2020
CR-3509-0164-2020,350902,2025-04-25 09:50:50.48+00,low,kmeans,5,0,100,2025-04-25 09:50:50.48+00,2020
CR-3509-0165-2020,350902,2025-04-25 09:50:50.485+00,low,kmeans,6,0,100,2025-04-25 09:50:50.485+00,2020
CR-3509-0166-2020,350902,2025-04-25 09:50:50.492+00,low,kmeans,7,1,94,2025-04-25 09:50:50.492+00,2020
CR-3509-0167-2020,350902,2025-04-25 09:50:50.498+00,low,kmeans,8,2,88,2025-04-25 09:50:50.498+00,2020
CR-3509-0168-2020,350902,2025-04-25 09:50:50.503+00,low,kmeans,9,0,100,2025-04-25 09:50:50.503+00,2020
CR-3509-0169-2020,350902,2025-04-25 09:50:50.51+00,low,kmeans,10,2,88,2025-04-25 09:50:50.51+00,2020
CR-3509-0170-2020,350902,2025-04-25 09:50:50.517+00,low,kmeans,11,0,100,2025-04-25 09:50:50.517+00,2020
CR-3509-0171-2020,350902,2025-04-25 09:50:50.523+00,low,kmeans,12,0,100,2025-04-25 09:50:50.523+00,2020
CR-3509-0172-2021,350902,2025-04-25 09:50:50.528+00,low,kmeans,1,2,88,2025-04-25 09:50:50.528+00,2021
CR-3509-0173-2021,350902,2025-04-25 09:50:50.541+00,low,kmeans,2,1,94,2025-04-25 09:50:50.541+00,2021
CR-3509-0174-2021,350902,2025-04-25 09:50:50.547+00,low,kmeans,3,2,88,2025-04-25 09:50:50.547+00,2021
CR-3509-0175-2021,350902,2025-04-25 09:50:50.553+00,low,kmeans,4,3,82,2025-04-25 09:50:50.553+00,2021
CR-3509-0176-2021,350902,2025-04-25 09:50:50.558+00,low,kmeans,5,1,94,2025-04-25 09:50:50.558+00,2021
CR-3509-0177-2021,350902,2025-04-25 09:50:50.564+00,low,kmeans,6,2,88,2025-04-25 09:50:50.564+00,2021
CR-3509-0178-2021,350902,2025-04-25 09:50:50.57+00,low,kmeans,7,1,94,2025-04-25 09:50:50.57+00,2021
CR-3509-0179-2021,350902,2025-04-25 09:50:50.576+00,low,kmeans,8,3,82,2025-04-25 09:50:50.576+00,2021
CR-3509-0180-2021,350902,2025-04-25 09:50:50.582+00,low,kmeans,9,2,88,2025-04-25 09:50:50.582+00,2021
CR-3509-0181-2021,350902,2025-04-25 09:50:50.588+00,low,kmeans,10,0,100,2025-04-25 09:50:50.588+00,2021
CR-3509-0182-2021,350902,2025-04-25 09:50:50.594+00,low,kmeans,11,1,94,2025-04-25 09:50:50.594+00,2021
CR-3509-0183-2021,350902,2025-04-25 09:50:50.6+00,low,kmeans,12,0,100,2025-04-25 09:50:50.6+00,2021
CR-3509-0184-2022,350902,2025-04-25 09:50:50.605+00,low,kmeans,1,0,100,2025-04-25 09:50:50.605+00,2022
CR-3509-0185-2022,350902,2025-04-25 09:50:50.61+00,low,kmeans,2,3,82,2025-04-25 09:50:50.61+00,2022
CR-3509-0186-2022,350902,2025-04-25 09:50:50.616+00,low,kmeans,3,0,100,2025-04-25 09:50:50.616+00,2022
CR-3509-0187-2022,350902,2025-04-25 09:50:50.621+00,low,kmeans,4,0,100,2025-04-25 09:50:50.621+00,2022
CR-3509-0188-2022,350902,2025-04-25 09:50:50.627+00,low,kmeans,5,3,82,2025-04-25 09:50:50.627+00,2022
CR-3509-0189-2022,350902,2025-04-25 09:50:50.633+00,low,kmeans,6,1,94,2025-04-25 09:50:50.633+00,2022
CR-3509-0190-2022,350902,2025-04-25 09:50:50.639+00,low,kmeans,7,1,94,2025-04-25 09:50:50.639+00,2022
CR-3509-0191-2022,350902,2025-04-25 09:50:50.645+00,low,kmeans,8,0,100,2025-04-25 09:50:50.645+00,2022
CR-3509-0192-2022,350902,2025-04-25 09:50:50.652+00,low,kmeans,9,2,88,2025-04-25 09:50:50.652+00,2022
CR-3509-0193-2022,350902,2025-04-25 09:50:50.657+00,low,kmeans,10,3,82,2025-04-25 09:50:50.657+00,2022
CR-3509-0194-2022,350902,2025-04-25 09:50:50.665+00,low,kmeans,11,3,82,2025-04-25 09:50:50.665+00,2022
CR-3509-0195-2022,350902,2025-04-25 09:50:50.671+00,low,kmeans,12,1,94,2025-04-25 09:50:50.671+00,2022
CR-3509-0196-2023,350902,2025-04-25 09:50:50.676+00,low,kmeans,1,2,88,2025-04-25 09:50:50.676+00,2023
CR-3509-0197-2023,350902,2025-04-25 09:50:50.682+00,low,kmeans,2,2,88,2025-04-25 09:50:50.682+00,2023
CR-3509-0198-2023,350902,2025-04-25 09:50:50.687+00,low,kmeans,3,0,100,2025-04-25 09:50:50.687+00,2023
CR-3509-0199-2023,350902,2025-04-25 09:50:50.692+00,low,kmeans,4,0,100,2025-04-25 09:50:50.692+00,2023
CR-3509-0202-2023,350902,2025-04-25 09:50:50.708+00,low,kmeans,7,1,94,2025-04-25 09:50:50.708+00,2023
