district_id,district_name,number_of_crime,level,score,method,year
350920,Patrang,46,medium,58,kmeans,2020
350920,Patrang,88,medium,20,kmeans,2021
350920,Patrang,42,medium,62,kmeans,2022
350920,Patrang,16,medium,86,kmeans,2023
350920,Patrang,10,medium,91,kmeans,2024
350921,Sumbersari,38,high,66,kmeans,2020
350921,Sumbersari,52,medium,53,kmeans,2021
350921,Sumbersari,59,medium,46,kmeans,2022
350921,Sumbersari,35,medium,68,kmeans,2023
350921,Sumbersari,33,medium,70,kmeans,2024
350922,Arjasa,29,low,74,kmeans,2020
350922,Arjasa,47,low,57,kmeans,2021
350922,Arjasa,19,low,83,kmeans,2022
350922,Arjasa,10,low,91,kmeans,2023
350922,Arjasa,11,low,90,kmeans,2024
350923,Mumbulsari,28,high,75,kmeans,2020
350923,Mumbulsari,27,low,76,kmeans,2021
350923,Mumbulsari,23,low,79,kmeans,2022
350923,Mumbulsari,11,low,90,kmeans,2023
350923,Mumbulsari,10,low,91,kmeans,2024
350924,Pakusari,39,low,65,kmeans,2020
350924,Pakusari,52,low,53,kmeans,2021
350924,Pakusari,34,low,69,kmeans,2022
350924,Pakusari,12,low,89,kmeans,2023
350924,Pakusari,15,low,87,kmeans,2024
350925,Jelbuk,32,low,71,kmeans,2020
350925,Jelbuk,55,low,50,kmeans,2021
350925,Jelbuk,16,low,86,kmeans,2022
350925,Jelbuk,16,low,86,kmeans,2023
350925,Jelbuk,13,low,89,kmeans,2024
350926,Mayang,11,low,90,kmeans,2020
350926,Mayang,35,low,68,kmeans,2021
350926,Mayang,20,low,82,kmeans,2022
350926,Mayang,13,low,89,kmeans,2023
350926,Mayang,10,low,91,kmeans,2024
350927,Kalisat,84,high,23,kmeans,2020
350927,Kalisat,95,high,13,kmeans,2021
350927,Kalisat,68,high,38,kmeans,2022
350927,Kalisat,13,low,89,kmeans,2023
350927,Kalisat,10,low,91,kmeans,2024
350928,Ledokombo,22,low,80,kmeans,2020
350928,Ledokombo,45,low,59,kmeans,2021
350928,Ledokombo,17,low,85,kmeans,2022
350928,Ledokombo,13,low,89,kmeans,2023
350928,Ledokombo,6,low,95,kmeans,2024
350929,Sukowono,38,high,66,kmeans,2020
350929,Sukowono,46,low,58,kmeans,2021
350929,Sukowono,34,low,69,kmeans,2022
350929,Sukowono,25,low,78,kmeans,2023
350929,Sukowono,28,low,75,kmeans,2024
350930,Silo,26,high,77,kmeans,2020
350930,Silo,39,high,65,kmeans,2021
350930,Silo,28,high,75,kmeans,2022
350930,Silo,29,high,74,kmeans,2023
350930,Silo,21,low,81,kmeans,2024
350931,Sumberjambe,55,high,50,kmeans,2020
350931,Sumberjambe,20,low,82,kmeans,2021
350931,Sumberjambe,12,low,89,kmeans,2022
350931,Sumberjambe,16,low,86,kmeans,2023
350931,Sumberjambe,6,low,95,kmeans,2024
