district_id,district_name,number_of_crime,avg_crime,crime_cleared,level,score,method,year
350928,Ledokombo,18,1.5,18,low,88,kmeans,2021
350928,Ledokombo,10,0.83,10,low,93,kmeans,2022
350928,Ledokombo,4,0.33,4,low,98,kmeans,2023
350928,Ledokombo,5,0.42,5,low,97,kmeans,2024
350928,Ledokombo,71,5.92,46,medium,50,kmeans,2025
350929,Sukowono,11,0.92,11,low,93,kmeans,2020
350929,Sukowono,20,1.67,20,low,86,kmeans,2021
350929,Sukowono,7,0.58,7,low,95,kmeans,2022
350929,Sukowono,6,0.5,6,low,96,kmeans,2023
350929,Sukowono,2,0.17,3,low,99,kmeans,2024
350929,Sukowono,66,5.5,30,medium,53,kmeans,2025
350930,Silo,109,9.08,92,medium,23,kmeans,2020
350930,Silo,89,7.42,79,medium,37,kmeans,2021
350930,Silo,86,7.17,80,medium,39,kmeans,2022
350930,Silo,81,6.75,68,medium,43,kmeans,2023
350930,Silo,68,5.67,62,medium,52,kmeans,2024
350930,Silo,89,7.42,27,medium,37,kmeans,2025
350931,Sumberjambe,7,0.58,8,low,95,kmeans,2020
350931,Sumberjambe,19,1.58,19,low,87,kmeans,2021
350931,Sumberjambe,5,0.42,5,low,97,kmeans,2022
350931,Sumberjambe,8,0.67,8,low,95,kmeans,2023
350931,Sumberjambe,4,0.33,4,low,98,kmeans,2024
350931,Sumberjambe,98,8.17,56,medium,30,kmeans,2025
